benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
tree_100-50-5,15,0,0,0,0,13,4,3,141,10464
tree_100-50-10,440,0,0,12,0,388,18,9,9696,1479962
tree_100-100-5,1,0,0,4,0,14,6,4,216,17529
tree_100-100-10,1,0,0,14,0,107,13,8,13905,467177
